player_id,name_key,position,season,completions,attempts,passing_yards,passing_tds,passing_interceptions,sacks_suffered,sack_yards_lost,passing_air_yards,passing_yards_after_catch,passing_first_downs,passing_epa,carries,rushing_yards,rushing_tds,rushing_fumbles,rushing_first_downs,rushing_epa,receptions,targets,receiving_yards,receiving_tds,receiving_fumbles,receiving_air_yards,receiving_yards_after_catch,receiving_first_downs,receiving_epa,wopr,def_tackles_solo,def_sacks,def_sack_yards,def_qb_hits,def_interceptions,def_interception_yards,def_pass_defended,def_tds,def_tackles_for_loss,def_fumbles_forced,fg_made,fg_att,fg_missed,fg_long,pat_made,pat_att,fantasy_points,fantasy_points_ppr,player_name_full,college,draft_slot,draft_slot_label,round,pick,draft_year
00-0004091,P.Dawson,K,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,27,1,541,20,21,0,0,Paul Dawson,TCU,3,R3,3,99,2015
00-0004091,P.Dawson,K,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,21,3,422,33,34,0,0,Paul Dawson,TCU,3,R3,3,99,2015
00-0004091,P.Dawson,K,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32,40,6,526,23,26,0,0,Paul Dawson,TCU,3,R3,3,99,2015
00-0004091,P.Dawson,K,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,8,3,153,15,15,0,0,Paul Dawson,TCU,3,R3,3,99,2015
00-0007091,M.Hasselbeck,QB,2015,156,256,1690,9,5,16,-101,1900,779,85,-0.11306125,16,15,0,0,2,-5.870651625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.1,91.1,,,,,,,
00-0010346,P.Manning,QB,2015,198,331,2249,9,17,16,-95,3112,967,110,-31.95664453,6,-6,0,0,0,-3.616596605,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,91.36,91.36,,,,,,,
00-0016919,A.Vinatieri,K,2015,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,27,2,485,32,35,0,0,Adam Vinatieri,South Dakota State,7,UDFA,,,
00-0016919,A.Vinatieri,K,2016,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,27,31,4,620,44,44,0,0,Adam Vinatieri,South Dakota State,7,UDFA,,,
00-0016919,A.Vinatieri,K,2017,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,29,34,4,593,22,24,0,0,Adam Vinatieri,South Dakota State,7,UDFA,,,
00-0016919,A.Vinatieri,K,2018,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23,27,4,496,44,47,0,0,Adam Vinatieri,South Dakota State,7,UDFA,,,
